##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
1	1	1	 0.00	 0.00
2	1	2	 0.00	 0.67
3	1	3	 0.00	 1.33
4	1	4	 0.00	 2.00
5	1	5	 0.00	 2.66
6	1	6	 0.00	 3.33
7	1	7	 0.00	 4.00
8	1	8	 0.00	 4.66
9	1	9	 0.00	 5.33
10	1	10	 0.00	 5.99
11	1	11	 0.00	 6.66
12	1	12	 0.00	 7.33
13	1	13	 0.00	 7.99
14	1	14	 0.00	 8.66
15	1	15	 0.00	 9.32
16	1	16	 0.00	 9.99
17	1	17	 0.00	10.66
18	1	18	 0.00	11.32
19	1	19	 0.00	11.99
20	1	20	 0.00	12.65
21	1	21	 0.00	13.32
22	1	22	 0.00	13.99
23	1	23	 0.00	14.65
24	1	24	 0.00	15.32
25	1	25	 0.00	15.98
26	1	26	 0.00	16.65
27	1	27	 0.00	17.32
28	1	28	 0.00	17.98
29	1	29	 0.00	18.65
30	1	30	 0.00	19.31
31	1	31	 0.00	19.98
32	1	32	 0.00	20.65
33	1	33	 0.00	21.31
34	1	34	 0.00	21.98
35	1	35	 0.00	22.64
36	1	36	 0.00	23.31
37	1	37	 0.00	23.98
38	1	38	 0.00	24.64
39	1	39	 0.00	25.31
40	1	40	 0.00	25.97
41	1	41	 0.00	26.64
42	1	42	 0.00	27.31
43	1	43	 0.00	27.97
44	1	44	 0.00	28.64
45	1	45	 0.00	29.30
46	1	46	 0.00	29.97
47	1	47	 0.00	30.64
48	1	48	 0.00	31.30
49	1	49	 0.00	31.97
50	1	50	 0.00	32.63
51	1	51	 0.00	33.30
52	1	52	 0.00	33.97
53	1	53	 0.00	34.63
54	1	54	 0.00	35.30
55	1	55	 0.00	35.96
56	1	56	 0.00	36.63
57	1	57	 0.00	37.30
58	1	58	 0.00	37.96
59	1	59	 0.00	38.63
60	1	60	 0.00	39.29
61	1	61	 0.00	39.96
62	1	62	 0.00	40.63
63	1	63	 0.00	41.29
64	1	64	 0.00	41.96
65	1	65	 0.00	42.62
66	1	66	 0.00	43.29
67	1	67	 0.00	43.96
68	1	68	 0.00	44.62
69	1	69	 0.00	45.29
70	1	70	 0.00	45.95
71	1	71	 0.00	46.62
72	1	72	 0.00	47.29
73	1	73	 0.00	47.95
74	1	74	 0.00	48.62
75	2	1	 0.67	 0.00
76	2	2	 0.67	 0.67
77	2	3	 0.67	 1.33
