##X¡¢Y unit mm				
Param	XOffset=3	  YOffset=3.5	XSpan=1.33	YSpan=1.33
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
1	1	1	0	0
2	1	2	0	1.33
3	1	3	0	2.66
4	1	4	0	3.99
5	1	5	0	5.32
6	1	6	0	6.65
7	1	7	0	7.98
8	1	8	0	9.31
9	1	9	0	10.64
10	1	10	0	11.97
11	1	11	0	13.3
12	1	12	0	14.63
13	1	13	0	15.96
14	1	14	0	17.29
15	1	15	0	18.62
16	1	16	0	19.95
17	1	17	0	21.28
18	1	18	0	22.61
19	1	19	0	23.94
20	1	20	0	25.27
21	1	21	0	26.6
22	1	22	0	27.93
23	1	23	0	29.26
24	1	24	0	30.59
25	1	25	0	31.92
26	1	26	0	33.25
27	1	27	0	34.58
28	1	28	0	35.91
29	1	29	0	37.24
30	1	30	0	38.57
31	1	31	0	39.9
32	1	32	0	41.23
33	1	33	0	42.56
34	1	34	0	43.89
35	1	35	0	45.22
36	1	36	0	46.55
37	1	37	0	47.88
38	2	1	1.33	0
39	2	2	1.33	1.33
40	2	3	1.33	2.66
41	2	4	1.33	3.99
42	2	5	1.33	5.32
43	2	6	1.33	6.65
44	2	7	1.33	7.98
45	2	8	1.33	9.31
46	2	9	1.33	10.64
47	2	10	1.33	11.97
48	2	11	1.33	13.3
49	2	12	1.33	14.63
50	2	13	1.33	15.96
51	2	14	1.33	17.29
52	2	15	1.33	18.62
53	2	16	1.33	19.95
54	2	17	1.33	21.28
55	2	18	1.33	22.61
56	2	19	1.33	23.94
57	2	20	1.33	25.27
58	2	21	1.33	26.6
59	2	22	1.33	27.93
60	2	23	1.33	29.26
61	2	24	1.33	30.59
62	2	25	1.33	31.92
63	2	26	1.33	33.25
64	2	27	1.33	34.58
65	2	28	1.33	35.91
66	2	29	1.33	37.24
67	2	30	1.33	38.57
68	2	31	1.33	39.9
69	2	32	1.33	41.23
70	2	33	1.33	42.56
71	2	34	1.33	43.89
72	2	35	1.33	45.22
73	2	36	1.33	46.55
74	2	37	1.33	47.88
75	3	1	2.66	0
76	3	2	2.66	1.33
77	3	3	2.66	2.66
78	3	4	2.66	3.99
79	3	5	2.66	5.32
80	3	6	2.66	6.65
81	3	7	2.66	7.98
82	3	8	2.66	9.31
83	3	9	2.66	10.64
84	3	10	2.66	11.97
85	3	11	2.66	13.3
86	3	12	2.66	14.63
87	3	13	2.66	15.96
88	3	14	2.66	17.29
89	3	15	2.66	18.62
90	3	16	2.66	19.95
91	3	17	2.66	21.28
92	3	18	2.66	22.61
93	3	19	2.66	23.94
94	3	20	2.66	25.27
95	3	21	2.66	26.6
96	3	22	2.66	27.93
97	3	23	2.66	29.26
98	3	24	2.66	30.59
99	3	25	2.66	31.92
100	3	26	2.66	33.25
101	3	27	2.66	34.58
102	3	28	2.66	35.91
103	3	29	2.66	37.24
104	3	30	2.66	38.57
105	3	31	2.66	39.9
106	3	32	2.66	41.23
107	3	33	2.66	42.56
108	3	34	2.66	43.89
109	3	35	2.66	45.22
110	3	36	2.66	46.55
111	3	37	2.66	47.88
112	4	1	3.99	0
113	4	2	3.99	1.33
114	4	3	3.99	2.66
115	4	4	3.99	3.99
116	4	5	3.99	5.32
117	4	6	3.99	6.65
118	4	7	3.99	7.98
119	4	8	3.99	9.31
120	4	9	3.99	10.64
121	4	10	3.99	11.97
122	4	11	3.99	13.3
123	4	12	3.99	14.63
124	4	13	3.99	15.96
125	4	14	3.99	17.29
126	4	15	3.99	18.62
127	4	16	3.99	19.95
128	4	17	3.99	21.28
129	4	18	3.99	22.61
130	4	19	3.99	23.94
131	4	20	3.99	25.27
132	4	21	3.99	26.6
133	4	22	3.99	27.93
134	4	23	3.99	29.26
135	4	24	3.99	30.59
136	4	25	3.99	31.92
137	4	26	3.99	33.25
138	4	27	3.99	34.58
139	4	28	3.99	35.91
140	4	29	3.99	37.24
141	4	30	3.99	38.57
142	4	31	3.99	39.9
143	4	32	3.99	41.23
144	4	33	3.99	42.56
145	4	34	3.99	43.89
146	4	35	3.99	45.22
147	4	36	3.99	46.55
148	4	37	3.99	47.88
149	5	1	5.32	0
150	5	2	5.32	1.33
151	5	3	5.32	2.66
152	5	4	5.32	3.99
153	5	5	5.32	5.32
154	5	6	5.32	6.65
155	5	7	5.32	7.98
156	5	8	5.32	9.31
157	5	9	5.32	10.64
158	5	10	5.32	11.97
159	5	11	5.32	13.3
160	5	12	5.32	14.63
161	5	13	5.32	15.96
162	5	14	5.32	17.29
163	5	15	5.32	18.62
164	5	16	5.32	19.95
165	5	17	5.32	21.28
166	5	18	5.32	22.61
167	5	19	5.32	23.94
168	5	20	5.32	25.27
169	5	21	5.32	26.6
170	5	22	5.32	27.93
171	5	23	5.32	29.26
172	5	24	5.32	30.59
173	5	25	5.32	31.92
174	5	26	5.32	33.25
175	5	27	5.32	34.58
176	5	28	5.32	35.91
177	5	29	5.32	37.24
178	5	30	5.32	38.57
179	5	31	5.32	39.9
180	5	32	5.32	41.23
181	5	33	5.32	42.56
182	5	34	5.32	43.89
183	5	35	5.32	45.22
184	5	36	5.32	46.55
185	5	37	5.32	47.88
186	6	1	6.65	0
187	6	2	6.65	1.33
188	6	3	6.65	2.66
189	6	4	6.65	3.99
190	6	5	6.65	5.32
191	6	6	6.65	6.65
192	6	7	6.65	7.98
193	6	8	6.65	9.31
194	6	9	6.65	10.64
195	6	10	6.65	11.97
196	6	11	6.65	13.3
197	6	12	6.65	14.63
198	6	13	6.65	15.96
199	6	14	6.65	17.29
200	6	15	6.65	18.62
201	6	16	6.65	19.95
202	6	17	6.65	21.28
203	6	18	6.65	22.61
204	6	19	6.65	23.94
205	6	20	6.65	25.27
206	6	21	6.65	26.6
207	6	22	6.65	27.93
208	6	23	6.65	29.26
209	6	24	6.65	30.59
210	6	25	6.65	31.92
211	6	26	6.65	33.25
212	6	27	6.65	34.58
213	6	28	6.65	35.91
214	6	29	6.65	37.24
215	6	30	6.65	38.57
216	6	31	6.65	39.9
217	6	32	6.65	41.23
218	6	33	6.65	42.56
219	6	34	6.65	43.89
220	6	35	6.65	45.22
221	6	36	6.65	46.55
222	6	37	6.65	47.88
223	7	1	7.98	0
224	7	2	7.98	1.33
225	7	3	7.98	2.66
226	7	4	7.98	3.99
227	7	5	7.98	5.32
228	7	6	7.98	6.65
229	7	7	7.98	7.98
230	7	8	7.98	9.31
231	7	9	7.98	10.64
232	7	10	7.98	11.97
233	7	11	7.98	13.3
234	7	12	7.98	14.63
235	7	13	7.98	15.96
236	7	14	7.98	17.29
237	7	15	7.98	18.62
238	7	16	7.98	19.95
239	7	17	7.98	21.28
240	7	18	7.98	22.61
241	7	19	7.98	23.94
242	7	20	7.98	25.27
243	7	21	7.98	26.6
244	7	22	7.98	27.93
245	7	23	7.98	29.26
246	7	24	7.98	30.59
247	7	25	7.98	31.92
248	7	26	7.98	33.25
249	7	27	7.98	34.58
250	7	28	7.98	35.91
251	7	29	7.98	37.24
252	7	30	7.98	38.57
253	7	31	7.98	39.9
254	7	32	7.98	41.23
255	7	33	7.98	42.56
256	7	34	7.98	43.89
257	7	35	7.98	45.22
258	7	36	7.98	46.55
259	7	37	7.98	47.88
260	8	1	9.31	0
261	8	2	9.31	1.33
262	8	3	9.31	2.66
263	8	4	9.31	3.99
264	8	5	9.31	5.32
265	8	6	9.31	6.65
266	8	7	9.31	7.98
267	8	8	9.31	9.31
268	8	9	9.31	10.64
269	8	10	9.31	11.97
270	8	11	9.31	13.3
271	8	12	9.31	14.63
272	8	13	9.31	15.96
273	8	14	9.31	17.29
274	8	15	9.31	18.62
275	8	16	9.31	19.95
276	8	17	9.31	21.28
277	8	18	9.31	22.61
278	8	19	9.31	23.94
279	8	20	9.31	25.27
280	8	21	9.31	26.6
281	8	22	9.31	27.93
282	8	23	9.31	29.26
283	8	24	9.31	30.59
284	8	25	9.31	31.92
285	8	26	9.31	33.25
286	8	27	9.31	34.58
287	8	28	9.31	35.91
288	8	29	9.31	37.24
