##X¡¢Y unit mm	
Param	XOffset=3	YOffset=1	XSpan=1.33	YSpan=1.33	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
1	1	1	0	0
2	1	2	0	1.33
3	1	3	0	2.66
4	1	4	0	3.99
5	1	5	0	5.32
6	1	6	0	6.65
7	1	7	0	7.98
8	1	8	0	9.31
9	1	9	0	10.64
10	1	10	0	11.97
11	1	11	0	13.3
12	1	12	0	14.63
13	1	13	0	15.96
14	1	14	0	17.29
15	1	15	0	18.62
16	1	16	0	19.95
17	1	17	0	21.28
18	1	18	0	22.61
19	1	19	0	23.94
20	1	20	0	25.27
21	1	21	0	26.6
22	1	22	0	27.93
23	1	23	0	29.26
24	1	24	0	30.59
25	1	25	0	31.92
26	1	26	0	33.25
27	1	27	0	34.58
28	1	28	0	35.91
29	1	29	0	37.24
30	1	30	0	38.57
31	1	31	0	39.9
32	1	32	0	41.23
33	1	33	0	42.56
34	1	34	0	43.89
35	1	35	0	45.22
36	1	36	0	46.55
37	1	37	0	47.88
38	1	38	0	49.21
39	2	38	1.33	49.21
40	2	37	1.33	47.88
41	2	36	1.33	46.55
42	2	35	1.33	45.22
43	2	34	1.33	43.89
44	2	33	1.33	42.56
45	2	32	1.33	41.23
46	2	31	1.33	39.9
47	2	30	1.33	38.57
48	2	29	1.33	37.24
49	2	28	1.33	35.91
50	2	27	1.33	34.58
51	2	26	1.33	33.25
52	2	25	1.33	31.92
53	2	24	1.33	30.59
54	2	23	1.33	29.26
55	2	22	1.33	27.93
56	2	21	1.33	26.6
57	2	20	1.33	25.27
58	2	19	1.33	23.94
59	2	18	1.33	22.61
60	2	17	1.33	21.28
61	2	16	1.33	19.95
62	2	15	1.33	18.62
63	2	14	1.33	17.29
64	2	13	1.33	15.96
65	2	12	1.33	14.63
66	2	11	1.33	13.3
67	2	10	1.33	11.97
68	2	9	1.33	10.64
69	2	8	1.33	9.31
70	2	7	1.33	7.98
71	2	6	1.33	6.65
72	2	5	1.33	5.32
73	2	4	1.33	3.99
74	2	3	1.33	2.66
75	2	2	1.33	1.33
76	2	1	1.33	0
77	3	1	2.66	0
78	3	2	2.66	1.33
79	3	3	2.66	2.66
80	3	4	2.66	3.99
81	3	5	2.66	5.32
82	3	6	2.66	6.65
83	3	7	2.66	7.98
84	3	8	2.66	9.31
85	3	9	2.66	10.64
86	3	10	2.66	11.97
87	3	11	2.66	13.3
88	3	12	2.66	14.63
89	3	13	2.66	15.96
90	3	14	2.66	17.29
91	3	15	2.66	18.62
92	3	16	2.66	19.95
93	3	17	2.66	21.28
94	3	18	2.66	22.61
95	3	19	2.66	23.94
96	3	20	2.66	25.27
97	3	21	2.66	26.6
98	3	22	2.66	27.93
99	3	23	2.66	29.26
100	3	24	2.66	30.59
